epoch,train_loss,test_loss,train_acc,test_acc
1,2.188798490524292,1.9047652387619018,0.163,0.36
2,1.639659185409546,1.626281795501709,0.381,0.465
3,0.9696035580635071,1.2012722635269164,0.624,0.555
4,0.9783977873325348,0.896412034034729,0.624,0.73
5,0.8246035771369934,0.6952780652046203,0.686,0.755
6,0.5444224421977997,0.43592897057533264,0.808,0.9
7,0.37276220226287843,0.5199129068851471,0.887,0.83
8,0.31031646180152894,0.8405014991760253,0.896,0.805
9,0.33852073550224304,0.25912248849868774,0.889,0.905
10,0.17461045295000077,0.15111825466156006,0.951,0.95
