epoch,train_loss,test_loss,train_acc,test_acc
1,1.3385064563751221,0.3792409896850586,0.554,0.865
2,0.26470584201812747,0.11980743944644928,0.919,0.965
3,0.12862338882684707,0.06325135290622712,0.959,0.985
4,0.08463927018642425,0.0736455962061882,0.97,0.98
5,0.07422706131637097,0.05696040987968445,0.976,0.97
6,0.06134373393654823,0.05283940322697163,0.981,0.985
7,0.055720290265977385,0.04240480318665504,0.981,0.99
8,0.035999913342297074,0.07427221521735192,0.988,0.98
9,0.041107054375112057,0.035573657136410475,0.986,0.98
10,0.018727669658139347,0.04906622755341232,0.996,0.98
