epoch,train_loss,test_loss,train_acc,test_acc
1,2.347079620361328,2.204171299934387,0.118,0.175
2,2.1393688259124755,2.095379419326782,0.222,0.255
3,2.067707318305969,2.0033887910842894,0.248,0.22
4,1.98495166015625,1.995083260536194,0.286,0.21
5,1.92730966091156,1.9568474626541137,0.296,0.26
6,1.89961328125,1.9578541326522827,0.304,0.305
7,1.8489948768615723,1.8812877225875855,0.35,0.275
8,1.8781448135375975,1.8718010568618775,0.302,0.29
9,1.7626633100509643,1.8396849346160888,0.378,0.28
10,1.764243865966797,1.9150687980651855,0.378,0.315
