epoch,train_loss,test_loss,train_acc,test_acc
1,1.777194356918335,0.7632600545883179,0.375,0.78
2,0.6486157360076904,0.5057405376434326,0.779,0.835
3,0.28947351723909376,0.22420673847198486,0.905,0.93
4,0.2435284889936447,0.17191716328263282,0.932,0.94
5,0.12632926236093045,0.23504533410072326,0.96,0.91
6,0.10544484809041023,0.2622883787751198,0.958,0.92
7,0.12798719925433397,0.24035701751708985,0.959,0.93
8,0.0697237826125638,0.10077807676279918,0.977,0.97
9,0.08822286064526998,0.18475346811115742,0.975,0.955
10,0.16024254845827818,0.25173852711915967,0.96,0.925
