epoch,train_loss,test_loss,train_acc,test_acc
1,2.2253321838378906,1.9530901193618775,0.187,0.375
2,1.1930042448043823,1.0172402381896972,0.6,0.695
3,0.5211147484779358,0.4347580277919769,0.828,0.88
4,0.30226632702350614,0.29292081475257875,0.908,0.925
5,0.2227674856185913,0.18083008646965026,0.93,0.94
6,0.13666308031976224,0.156672922372818,0.957,0.94
7,0.10376277506351471,0.09402432315051555,0.965,0.96
8,0.05701646557822824,0.2221670925617218,0.977,0.955
9,0.038617920756340025,0.0697784699499607,0.987,0.975
10,0.02149345332989469,0.1167958177998662,0.991,0.975
