epoch,train_loss,test_loss,train_acc,test_acc
1,2.347540006637573,2.278311138153076,0.122,0.15
2,2.236719638824463,2.122440128326416,0.157,0.25
3,1.6449458656311036,1.0919167017936706,0.427,0.61
4,0.8341982655525207,0.8274818515777588,0.747,0.73
5,0.6090463800430298,0.6979314112663269,0.791,0.775
6,0.4974352765083313,0.4689557290077209,0.834,0.82
7,0.3557313836812973,0.5445652151107788,0.887,0.81
8,0.3047552802860737,0.3687832891941071,0.904,0.905
9,0.21413959884643555,0.3121813875436783,0.926,0.9
10,0.23005152642726898,0.28569415599107745,0.924,0.925
