epoch,train_loss,test_loss,train_acc,test_acc
1,2.165525646209717,2.156480836868286,0.256,0.3
2,1.5242553873062135,1.0593177795410156,0.475,0.63
3,0.6333181867599488,0.5931187868118286,0.788,0.81
4,0.40079164576530457,0.3590349584817886,0.867,0.87
5,0.33382178980112076,0.3068542575836182,0.904,0.905
6,0.2471162085533142,0.24410984992980958,0.926,0.92
7,0.25626984278857706,0.43528414726257325,0.923,0.885
8,0.2930131613537669,0.5276635885238647,0.906,0.885
9,0.3955923602581024,0.4767960667610168,0.889,0.85
10,0.33129650580883024,0.22407573699951172,0.913,0.91
