epoch,train_loss,test_loss,train_acc,test_acc
1,2.343500694274902,2.2821116638183594,0.111,0.095
2,2.239447208404541,2.165913505554199,0.164,0.31
3,2.059830654144287,1.9625343894958496,0.251,0.29
4,1.8467397327423096,1.7767998313903808,0.309,0.39
5,1.70690726852417,1.711825933456421,0.376,0.365
6,1.5809657020568848,1.485225567817688,0.466,0.52
7,1.4168682670593262,1.5075361680984498,0.53,0.53
8,1.3641173048019408,1.377626953125,0.537,0.475
9,1.2744525375366211,1.2512731122970582,0.559,0.555
10,1.1053398180007934,0.9894791913032531,0.611,0.705
